Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1e-07,64.93767547607422,64.99945068359375,1.6939584282419014e+28,8.521913766860962
20,0.0020000800000000004,32.38924026489258,32.36724853515625,114003305037824.0,153.41671180725098
40,0.004000060000000001,11.292731285095215,11.400787353515625,89392.078125,267.8182671070099
60,0.006000040000000001,6.497048377990723,6.522401809692383,680.2101440429688,381.9395866394043
80,0.008000020000000002,4.30433464050293,4.287938117980957,72.81617736816406,494.9910659790039
100,tensor(0.0100),3.655938148498535,3.5833582878112793,35.99421691894531,613.2683212757111
120,tensor(0.0091),3.2512729167938232,3.2663843631744385,26.216379165649414,722.8150458335876
140,tensor(0.0066),3.062037229537964,3.1066040992736816,22.345033645629883,830.9151105880737
160,tensor(0.0035),2.8500893115997314,2.877471446990967,17.769285202026367,939.4079291820526
180,tensor(0.0010),2.8834340572357178,2.823577404022217,16.83697509765625,1047.8435597419739
200,tensor(0.0100),2.874215841293335,2.899064540863037,18.15715217590332,1155.3544409275055
220,tensor(0.0098),2.7418270111083984,2.8163888454437256,16.71637535095215,1262.945582151413
240,tensor(0.0091),2.7228763103485107,2.699284076690674,14.8690824508667,1370.1931307315826
260,tensor(0.0080),2.6016530990600586,2.7429287433624268,15.532408714294434,1476.8614764213562
280,tensor(0.0066),2.616262674331665,2.5366897583007812,12.637767791748047,1583.0481538772583
300,tensor(0.0050),2.5036182403564453,2.52915620803833,12.54291820526123,1688.7438895702362
320,tensor(0.0035),2.476184129714966,2.568354368209839,13.044340133666992,1795.0033605098724
340,tensor(0.0021),2.4473400115966797,2.465538263320923,11.769815444946289,1901.5696992874146
360,tensor(0.0010),2.4952077865600586,2.4940176010131836,12.109830856323242,2008.129123210907
380,tensor(0.0003),2.4580466747283936,2.400648832321167,11.030330657958984,2119.9450373649597
400,tensor(0.0100),2.4780287742614746,2.5048866271972656,12.242171287536621,2230.550566673279
420,tensor(0.0099),2.46441650390625,2.5583605766296387,12.914627075195312,2344.9019343852997
440,tensor(0.0098),2.4357051849365234,2.3778953552246094,10.782186508178711,2456.5743622779846
460,tensor(0.0095),2.424314498901367,2.3147852420806885,10.122748374938965,2568.0611345767975
480,tensor(0.0091),2.291973352432251,2.3693222999572754,10.690145492553711,2678.0294601917267
500,tensor(0.0086),2.2892262935638428,2.3164315223693848,10.139427185058594,2786.0902559757233
520,tensor(0.0080),2.293286085128784,2.277336359024048,9.750673294067383,2893.831943511963
540,tensor(0.0073),2.231135129928589,2.29774808883667,9.951746940612793,3000.2673375606537
560,tensor(0.0066),2.26901912689209,2.1176774501800537,8.311810493469238,3106.7025191783905
580,tensor(0.0058),2.1674978733062744,2.1748478412628174,8.800846099853516,3211.976467847824
600,tensor(0.0050),2.2197766304016113,2.1570584774017334,8.645668983459473,3317.5511445999146
620,tensor(0.0043),2.1625819206237793,2.1906683444976807,8.941186904907227,3441.203102827072
640,tensor(0.0035),2.0920236110687256,2.140836238861084,8.506547927856445,3550.8288340568542
660,tensor(0.0028),2.0466372966766357,2.116431474685669,8.301460266113281,3659.1464519500732
680,tensor(0.0021),2.0848076343536377,2.1065831184387207,8.22010612487793,3766.25315117836
700,tensor(0.0015),2.1444807052612305,2.1759297847747803,8.810373306274414,3872.4281463623047
720,tensor(0.0010),2.013336420059204,2.0850632190704346,8.045100212097168,3978.5670278072357
740,tensor(0.0006),2.0908048152923584,2.184774875640869,8.888647079467773,4085.0980904102325
760,tensor(0.0003),2.1125986576080322,2.0601794719696045,7.847378253936768,4190.8977925777435
780,tensor(0.0002),2.021862268447876,2.1181023120880127,8.315342903137207,4295.82998919487
800,tensor(0.0100),2.177952289581299,2.118161916732788,8.315837860107422,4400.02938747406
820,tensor(0.0100),2.4085652828216553,2.397181987762451,10.992156982421875,4508.128091335297
840,tensor(0.0099),2.1572117805480957,2.1721513271331787,8.777146339416504,4620.449998140335
860,tensor(0.0099),2.1964938640594482,2.1138007640838623,8.279650688171387,4731.538161277771
880,tensor(0.0098),2.0760271549224854,2.1259765625,8.381077766418457,4840.744249343872
900,tensor(0.0096),2.0235753059387207,1.923775553703308,6.846760272979736,4948.750414133072
920,tensor(0.0095),2.086416244506836,1.9333837032318115,6.9128618240356445,5056.140165567398
